id,vendor,family,part_numbers,aliases,standards,bands,sdr_tier,sdr_capabilities,fw_arch,fw_openness,fw_re_tooling,key_projects,common_hardware,status,references,notes
netgear-nighthawk-x10,Netgear,802.11ad WiGig router (QCA9500),R9000; QCA9500,Nighthawk X10; R9000,IEEE 802.11ad; IEEE 802.11ac,2.4GHz; 5GHz; 60GHz,2,monitor; injection; radar; open-firmware,Synopsys ARC (ARCompact) WiGig firmware; ARM host SoC,partially-documented,nexmon-arc; wil6210 driver; Ghidra (ARC),nexmon-arc; wil6210 (experimentation fork),Netgear Nighthawk X10 R9000 router,reported,https://genesys-lab.org/papers/Going_beyond_RF.pdf; https://arxiv.org/pdf/2306.17062; https://github.com/seemoo-lab/nexmon-arc,"QCA9500 (VIVE) single-stream 60 GHz radio on a beefier ARM host SoC. Same wil6210/ARC firmware internals as the Talon, but without an equally mature open LEDE/OpenWrt image exposing the WiGig debugfs, so firmware patching is less turnkey than the Talon. Used in localization/gesture/'beyond-RF' beamforming sensing papers. Tier 2 by the same beam-SNR argument as the Talon; status 'reported' because the patched-firmware sensing path is less broadly reproduced on this box than on the AD7200."
newracom-nrc7292,Newracom,Wi-Fi HaLow (IEEE 802.11ah),NRC7292,NRC7292,IEEE 802.11ah; Wi-Fi HaLow,sub-GHz,1,monitor; injection,ARM Cortex-M3,closed,nrc7292_sw_pkg GPL-2.0 mac80211 driver; droidifi/newracom-s1g native S1G stack; nrc7292-analysis reverse-engineering notes,newracom/nrc7292_sw_pkg; droidifi/newracom-s1g; nrc7292-analysis,ALFA AHPI7292S RPi HAT; Silex SX-NEWAH module; Gateworks GW16146 mini-PCIe; Raspberry Pi 3/4 host,verified,https://github.com/newracom/nrc7292_sw_pkg; https://oyongjoo.github.io/nrc7292-analysis/2025/06/17/nrc7292-architecture-overview/; https://newracom.com/products/nrc7292,"First commercial 802.11ah HaLow SoC. ARM Cortex-M3, 752KB SRAM, no on-chip flash; host mode (CSPI/SDIO/UART/USB) or standalone. Unusually open host stack: GPL-2.0 mac80211 driver (nrc7292_sw_pkg) with explicit sniffer/monitor mode + radiotap, so tier-1 monitor+injection is verified today. Requires patched kernel/hostap/wireless-regdb for S1G channelization (not mainlined). PHY/MAC firmware (uni_s1g.bin) is a closed blob; no public CSI or firmware RE path. Already referenced as morsemicro-mm6108's counterpart; net-new full record here."
newracom-nrc7394,Newracom,Wi-Fi HaLow (IEEE 802.11ah),NRC7394; NRC7393,NRC7394; NRC7393,IEEE 802.11ah; Wi-Fi HaLow,sub-GHz,1,monitor; injection,ARM Cortex-M3,closed,nrc7292_sw_pkg GPL-2.0 driver (supports 7292/7393/7394 variants),newracom/nrc7292_sw_pkg,6x6mm 48-QFN; Raspberry Pi host; Newracom NRC7394 EVK,verified,https://newracom.com/hubfs/Resources%20Documents/Product%20Brief%20(NRC7394)(NEWRACOM).pdf; https://www.cnx-software.com/2023/06/29/newracom-nrc7394-wifi-halow-soc-delivers-higher-power-efficiency-and-cost-effectiveness/; https://newracom.com/blog/introducing-the-nrc7394-newracoms-solution-for-lower-power-and-cost-effective-wi-fi-halow,"Cost/power-optimized second-gen Newracom HaLow SoC (2023). Baseband (MAC+PHY) + sub-1GHz transceiver + ADC/DAC + integrated PA (up to +17 dBm) in 6x6mm 48-QFN; 1/2/4 MHz channels, 750-950 MHz; ARM Cortex-M3 standalone-capable. Same GPL-2.0 nrc7292_sw_pkg driver family covers 7292/7393/7394, so tier-1 monitor+injection carries over. Firmware closed; no CSI/spectral export."
nordic-nrf24l01p,Nordic Semiconductor,nRF24 (Enhanced ShockBurst),nRF24L01+; nRF24LU1+; nRF24LE1,nRF24L01+; nRF24L01P; nRF24LU1+; Crazyradio PA,Nordic Enhanced ShockBurst (proprietary GFSK),2.4GHz,1,monitor; injection; covert-channel,fixed-function 2.4 GHz GFSK transceiver (no MCU); nRF24LU1+ adds an 8051,documented,,Goodspeed: Promiscuity is the nRF24L01+'s Duty; Bastille MouseJack / nrf-research-firmware,generic nRF24L01+ SPI modules; Crazyradio PA (nRF24LU1+ USB),verified,http://travisgoodspeed.blogspot.com/2011/02/promiscuity-is-nrf24l01s-duty.html; https://github.com/BastilleResearch/mousejack,"Travis Goodspeed's pseudo-promiscuous trick (2-byte address, no CRC, preamble-as-MAC) turns this stock transceiver into a sniffer for compatible 2.4 GHz ShockBurst traffic. Underpins Bastille's MouseJack running nrf-research-firmware on the Crazyradio PA. Documented PHY, no firmware to reverse."
nordic-nrf52,Nordic Semiconductor,nRF5x RADIO peripheral,nRF51822; nRF52832; nRF52833; nRF52840; nRF5340; nRF54L15; nRF54H20,nRF51822; nRF52832; nRF52840; nRF5340; nRF54L15; nRF54H20,Bluetooth LE; 802.15.4; ANT; proprietary GFSK,2.4GHz,1,monitor; injection; covert-channel; open-firmware,ARM Cortex-M0 (nRF51) / Cortex-M4F (nRF52) / Cortex-M33 (nRF53/nRF54),documented,ghidra,"Nordic radio_test / radiotest sample; Sniffle (BLE5 sniffer, nRF52840); nRF Sniffer for 802.15.4",nRF52840 Dongle; nRF52840 DK; Adafruit Feather nRF52; BBC micro:bit (nRF51822/nRF52833),verified,https://docs.nordicsemi.com/bundle/ncs-latest/page/nrf/samples/peripheral/radio_test/README.html; https://github.com/nccgroup/Sniffle; https://github.com/NordicSemiconductor/nRF-Sniffer-for-802.15.4,"Nordic fully documents the RADIO peripheral at register level (openness=documented, not closed), so bare-metal code and the official radio_test sample configure BLE 1M/2M/Coded, 802.15.4, or proprietary GFSK, plus carrier/tone TX and promiscuous RX. Platform under Sniffle, nRF Sniffer, and a large tool ecosystem. Tier 1 with enough raw-RADIO control to shape arbitrary GFSK packets."
nordic-nrf54,Nordic Semiconductor,nRF54L / nRF54H (Series 5),nRF54L15; nRF54L10; nRF54L05; nRF54H20,nRF54L15; nRF54L10; nRF54L05; nRF54H20,Bluetooth LE; Bluetooth 6 Channel Sounding; IEEE 802.15.4; proprietary 2.4GHz,2.4GHz,1,monitor; injection,Cortex-M33 (nRF54L) / multicore Cortex-M33 + RISC-V co-processors (nRF54H); register-documented RADIO peripheral,documented,nRF Connect SDK radio_test / radiotest sample; bare-metal RADIO register access,nRF Connect SDK radio_test,nRF54L15 DK; nRF54H20 DK,reported,http://docs.nordicsemi.com/r/bundle/ps_nrf54l15; https://docs.nordicsemi.com/bundle/ncs-latest/page/nrf/samples/peripheral/radio_test/README.html,"Nordic's newest 'global RADIO' generation (Series 5). Like the catalogued nordic-nrf52 record, the RADIO peripheral is register-documented, so bare-metal code and the radio_test sample give configurable BLE 1M/2M/Coded, 802.15.4, and proprietary GFSK TX/RX plus carrier/tone modes (Tier 1). nRF54H20 adds multicore + a hardware Channel Sounding path. The existing nordic-nrf52 record already covers nRF52805/810/811/820/833/840 and nRF5340; this record is the net-new Series-5 generation."
nuand-bladerf-2micro,Nuand,bladeRF 2.0 micro xA4 / xA9,bladeRF 2.0 micro xA4; bladeRF 2.0 micro xA9; AD9361; Cyclone V,,,sub-GHz; 2.4GHz; 5GHz,5,raw-iq; arbitrary-waveform; passive-radar,AD9361 transceiver + Cyclone V FPGA (49k/301k LE) + ARM Cortex-M4,open,bladeRF-cli; libbladeRF; GNU Radio,,,verified,https://www.nuand.com/bladerf-2-0-micro/; https://www.nuand.com/product/bladerf-xa9/,"47MHz-6GHz, up to 56MHz BW, 12-bit, 2x2 MIMO full-duplex, USB 3.0. xA4/xA9 differ only in FPGA size (on-board user DSP/PHY)."
nxp-iw416,NXP,IW416 (Wi-Fi 4 + Bluetooth combo),IW416,IW416; 88W8978 lineage,802.11n; Bluetooth 5.2,2.4GHz; 5GHz,1,monitor; injection,"NXP 1x1 Wi-Fi 4 MAC/PHY + BT, closed firmware (linux-firmware/nxp)",closed,NXP moal/mlan driver; net-mon monitor interface,NXP wireless firmware (linux-firmware),i.MX RT / i.MX 8 boards; Murata 1XK / u-blox / Azurewave modules,reported,https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git/tree/nxp; https://www.nxp.com/products/wireless-connectivity/wi-fi-plus-bluetooth-plus-802-15-4,"Low-cost 1x1 dual-band 802.11n + BT5.2 combo, the workhorse Wi-Fi in many i.MX designs. moal driver net-mon gives Tier 1 monitor. No public CSI. Net-new record."
nxp-iw61x,NXP,IW611 / IW612 (Wi-Fi 6 tri-radio),IW611; IW612,IW611; IW612; Murata Type 2EL,802.11ax; Bluetooth 5.2; IEEE 802.15.4; Thread; Zigbee; Matter,2.4GHz; 5GHz,1,monitor; injection,"NXP 1x1 Wi-Fi 6 MAC/PHY + BT + integrated 802.15.4 radio, closed firmware",closed,NXP wifi_nxp / moal driver (Wi-Fi net-mon); NXP 802.15.4 stack (15.4 sniff),NXP wireless firmware (linux-firmware),i.MX 8M Plus / i.MX 93 EVKs; Murata Type 2EL module; Matter/Thread border-router boards,reported,https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git/tree/nxp; https://www.nxp.com/products/wireless-connectivity/wi-fi-plus-bluetooth-plus-802-15-4,"IW612 is a single-chip TRI-RADIO: 1x1 Wi-Fi 6 (11ax), Bluetooth 5.2/LE, and an integrated IEEE 802.15.4 radio (Thread/Zigbee/Matter) — three PHYs in one part, unusual for the catalog. Wi-Fi monitor via moal net-mon (Tier 1); the 802.15.4 side is sniffable through NXP's 15.4 stack. No public CSI. IW611 drops the 15.4 radio. Net-new record."
nxp-trimension-ol23d0,NXP,Trimension OL23D0 consumer UWB IC,OL23D0,OL23D0; Trimension OL23D0,IEEE 802.15.4z HRP-UWB; FiRa; UCI,UWB,0,,"Low-power consumer/IoT HRP-UWB IC; UCI host interface, closed firmware",closed,FiRa UCI; Android UWB API,,wearable / IoT reference designs,reported,https://www.nxp.com/products/wireless-connectivity/secure-ultra-wideband-uwb:UWB-TRIMENSION,"Net-new. Consumer/IoT-class Trimension UWB IC for low-power wearables and accessories. FiRa/UCI host interface, closed firmware, no exposed CIR -> tier 0 black box for SDR purposes."
nxp-trimension-sr040,NXP,Trimension SR040 tag-optimized UWB IC,SR040,SR040; Trimension SR040,IEEE 802.15.4z HRP-UWB; FiRa; UCI,UWB,0,,"Low-power tag/responder-optimized HRP-UWB IC; UCI host interface, closed firmware",closed,FiRa UCI,,low-power tag reference designs; Murata Type 2BP module,reported,https://www.nxp.com/products/wireless-connectivity/secure-ultra-wideband-uwb:UWB-TRIMENSION,"Net-new. NXP Trimension tag-optimized UWB IC (pairs with SR150 anchors); low-power responder role. Host sees only UCI-level ranging control/results -- no channel or CIR access. Tier 0 black box from an SDR standpoint, closed firmware."
nxp-trimension-sr100t,NXP,Trimension SR100T automotive UWB IC,SR100T,SR100T; Trimension SR100T,IEEE 802.15.4z HRP-UWB; FiRa; CCC Digital Key 3.0; UCI,UWB,0,,"Automotive-grade secure HRP-UWB IC for phone-as-car-key; secure UCI interface, closed firmware",closed,,,automotive anchors; secure element / secure ranging (STS),reported,https://www.nxp.com/products/wireless-connectivity/secure-ultra-wideband-uwb:UWB-TRIMENSION; https://carconnectivity.org/digital-key/,"Net-new. Automotive-grade Trimension IC targeting CCC Digital Key 3.0 (secure, distance-bounded car access using STS). Deliberately locked down: host access is via secure UCI only, no raw channel/CIR. Tier 0, closed. Distance-bounding is a security feature -- relay/distance-manipulation experiments are out of scope and should only ever be run against hardware you own."
nxp-trimension-sr150,NXP,Trimension SR150 HRP-UWB IC,SR150,SR150; Trimension SR150,IEEE 802.15.4z HRP-UWB; FiRa Certified; UCI,UWB,1,monitor; injection,HRP-UWB IC with integrated Arm Cortex-M33; host controls via FiRa UCI over SPI,closed,FiRa UCI; Android UWB API,,Arm Cortex-M33; multi-antenna AoA front-end; smartphone/anchor host,reported,https://www.nxp.com/products/wireless-connectivity/secure-ultra-wideband-uwb:UWB-TRIMENSION; https://www.firaconsortium.org/,"Net-new. NXP's full-featured Trimension UWB IC (Cortex-M33 on-chip), used in phones and anchors, with AoA support. Host-visible interface is FiRa UCI: you can run ranging sessions and, in principle, send/receive raw UWB frames, but the closed firmware gates CIR/diagnostics reporting -- no open register map or accumulator readout like the Qorvo DW3000 line. Best honestly rated tier 1 (frame-level, UCI-scriptable), closed firmware."
nxp-trimension-sr1xx,NXP,Trimension SR040 / SR150 / SR160 UWB,SR040; SR150; SR160,SR040; SR150; SR160; Trimension,IEEE 802.15.4z; FiRa; CCC,UWB,1,,"UWB MAC/PHY; SR040 = tag-optimized transceiver, SR150 = anchor with integrated Cortex-M33; closed firmware",closed,NXP UWB SDK / UCI (UWB Command Interface); CIR access is vendor-gated,NXP Trimension UWB,NXP UWB kits (Trimension); MCXN / RW612 companion designs; phone/anchor UWB modules,reported,https://www.nxp.com/products/wireless-connectivity/secure-ultra-wideband-uwb; https://www.firaconsortium.org/,"NXP's Trimension UWB line (802.15.4z): SR040 tag transceiver, SR150/SR160 anchors (SR150 integrates a Cortex-M33). Like other UWB, the channel-impulse-response is the SDR-relevant asset, but on Trimension it is reachable only through gated debug/UCI paths, not documented like the catalogued Qorvo DW1000/DW3000. Tier 1 by default, reaching Tier 2 only where CIR is unlocked (reported). Deep UWB CIR treatment is deferred to the UWB doc; u-blox short-range UWB is sold as modules over third-party silicon and is not minted separately. Net-new record."
nxp-88w9098,NXP (Marvell),88W9098 (Wi-Fi 6 Avastar),88W9098,88W9098; IW620 lineage,802.11ax; Bluetooth 5,2.4GHz; 5GHz,1,monitor; injection,"NXP Wi-Fi 6 MAC/PHY, closed firmware (shipped in linux-firmware/nxp)",closed,NXP moal/mlan out-of-tree driver; net-mon monitor interface,NXP wireless firmware (linux-firmware),i.MX 8M / i.MX 8 reference boards; Murata Wi-Fi 6 modules; M.2 2x2 11ax cards,reported,https://git.kernel.org/pub/scm/linux/kernel/git/firmware/linux-firmware.git/tree/nxp; https://www.nxp.com/products/wireless-connectivity/wi-fi-plus-bluetooth-plus-802-15-4,2x2 Wi-Fi 6 + BT5 Avastar successor. NXP's moal/mlan driver exposes a monitor (net-mon) interface for sniffing (Tier 1). No public CSI/PHY telemetry path. Firmware blobs distribute via linux-firmware/nxp but are closed. Net-new record.
peraso-w110x-w120x,Peraso (formerly Peraso Technologies / MoSys),W110x / W120x 60 GHz 802.11ad WiGig chipset,W1102; W1105; W1201; W1205,W110x; W120x; Peraso WiGig; PRS4001 lineage,802.11ad; WiGig,60GHz,0,,60 GHz baseband/MAC (W110x) + phased-array RF transceiver (W120x); closed firmware,closed,none public — no nexmon-arc equivalent exists for Peraso,,60 GHz fixed-wireless / WiGig CPE and access modules,reported,https://www.perasoinc.com/; https://en.wikipedia.org/wiki/IEEE_802.11ad,"Peraso's 60 GHz 802.11ad WiGig chipset: a baseband/MAC part (W110x) plus a beamforming phased-array RF transceiver (W120x). Architecturally comparable to the catalogued QCA9500, but with a decisive difference: NO open firmware-patching toolchain exists (there is no Peraso analog of SEEMOO's Talon Tools / nexmon-arc), so per-sector CSI and custom beam patterns are not publicly reachable. Tier 0 today; mmWave-sensing potential is theoretical pending an RE effort. Part numbers are reported, not verified. Net-new record."
qorvo-dw1000,Qorvo,DW1000/DW3000 UWB,DW1000; DW3110; DW3220; DWM1000; DWM1001,DW1000; DW3000; DW3110; DW3220; DWM1000; DWM1001,802.15.4a; 802.15.4z,UWB,2,csi; radar; passive-radar,fixed-function UWB transceiver with SPI-readable CIR accumulator (no MCU),documented,,UWB CIR for device-free localization (MDPI Sensors); Qorvo DW1000,DWM1000 / DWM1001 modules; DW3110/DW3220; MDEK1001 kit,verified,https://www.mdpi.com/1424-8220/22/16/6255; https://www.qorvo.com/products/p/DW1000,"Ultra-wideband (~500 MHz channels, 3.5-6.5 GHz). The CIR accumulator exposes the full complex channel impulse response, up to 1016 taps of 16-bit I + 16-bit Q at ~1 ns spacing, directly over SPI: a UWB analog of CSI with amplitude and phase. Basis for a large body of device-free localization, occupancy, and radar-style sensing research. Tier 2 reaching toward tier 3. Fully documented, no firmware to reverse."
qorvo-dw3110,Qorvo,DW3000-series HRP-UWB transceiver,DW3110; DW3210,Decawave DW3110; DW3210; DWM3000,IEEE 802.15.4z HRP-UWB; IEEE 802.15.4-2015 UWB; FiRa,UWB,3,monitor; raw-iq; radar,"Register-controlled HRP-UWB transceiver (ch 5/9), single RF/RX path; driven by external MCU (nRF52/STM32)",documented,dwt_uwb_driver (Qorvo C API); dwt_readaccdata (CIR accumulator); dwt_readdiagnostics; foldedtoad/dwm3000; Fhilb/DW3000_Arduino,foldedtoad/dwm3000; Fhilb/DW3000_Arduino,DWM3000 module; DWS3000 Arduino shield; nRF52833/STM32 host MCU,verified,https://www.qorvo.com/products/p/DW3110; https://www.qorvo.com/products/ultra-wideband; https://standards.ieee.org/ieee/802.15.4z/7862/,"Net-new. Second-gen Decawave HRP-UWB transceiver, single-RX (the chip inside the DWM3000 module). 802.15.4z with STS secure ranging on channels 5 (6.5 GHz) / 9 (8.0 GHz). Host reads the ~1016-sample complex Ipatov CIR accumulator plus a separate STS accumulator via dwt_readaccdata() -> raw-I/Q channel view enabling impulse-radar/gesture/respiration sensing. Fixed impulse-radio PHY (no arbitrary-waveform TX); register map and C API are public, hence firmware openness 'documented'. Distinct from the already-catalogued qorvo-dw1000 (prior 4a-era part)."
qorvo-dw3120,Qorvo,"DW3000-series HRP-UWB transceiver (dual-RX, PDoA/AoA)",DW3120; DW3220,Decawave DW3120; DW3220,IEEE 802.15.4z HRP-UWB; FiRa,UWB,3,monitor; raw-iq; radar,Register-controlled HRP-UWB transceiver with dual RF/RX paths for phase-difference AoA; external MCU host,documented,dwt_uwb_driver; dwt_readaccdata (CIR); PDoA/AoA example firmware (ex_01h/ex_02h),Uberi/DWM3001C-starter-firmware (PDoA examples),Dual UWB antennas (~lambda/2 spacing); nRF52833/STM32 host MCU,reported,https://www.qorvo.com/products/ultra-wideband; https://standards.ieee.org/ieee/802.15.4z/7862/,"Net-new. The dual-RX variant(s) of the DW3000 family; the two receive paths let the host measure phase-difference-of-arrival (PDoA) across the antenna pair for angle-of-arrival, so a single anchor gives range (TWR) + bearing. Same readable complex CIR/STS accumulator and 'documented' openness as DW3110. Exact single/dual suffix mapping (DW3110/DW3210 single vs DW3120/DW3220 dual) reflects the family's design intent; grouped here as the dual-RX record."
qorvo-dwm3001c,Qorvo,DWM3001C UWB module / DWM3001CDK dev kit,DWM3001C; DWM3001CDK,DWM3001C; DWM3001CDK,IEEE 802.15.4z HRP-UWB; FiRa,UWB,3,monitor; raw-iq; radar,DW3110 HRP-UWB transceiver + Nordic nRF52833 (Cortex-M4) host MCU + IMU; on-board J-Link (CDK),documented,Qorvo dwt_uwb_driver / UCI firmware; Uberi/DWM3001C-starter-firmware; Uberi/DWM3001CDK-demo-firmware; Zephyr board support,Uberi/DWM3001C-starter-firmware; Uberi/DWM3001CDK-demo-firmware,Qorvo DW3110; Nordic nRF52833; on-board J-Link debugger (DWM3001CDK),verified,https://www.qorvo.com/products/p/DWM3001CDK; https://github.com/Uberi/DWM3001C-starter-firmware,"Net-new. The most practical hobbyist entry point: DW3110 + nRF52833 + IMU with an on-board J-Link on the CDK. Open community firmwares (Uberi starter/demo) expose the full dwt_* API as standalone examples: SS/DS-TWR (ex_05*/ex_06*), PDoA TX/RX (ex_01h/ex_02h), and RX diagnostics + CIR accumulator readout (ex_02c) -- verified against the repo source. Flash over J-Link, script ranging over USB/UART, and read complex CIR for radar-style sensing."
qorvo-qm33120w,Qorvo,QM33xxx FiRa-Certified HRP-UWB transceiver,QM33120W; QM33120WA; QM33110W,QM33120W; QM33120WA; QM33110W,IEEE 802.15.4z HRP-UWB; FiRa Certified; UCI,UWB,3,monitor; raw-iq; radar,"DW3000-class HRP-UWB transceiver, FiRa-certified; single-RX (QM33110W) or dual-RX PDoA/AoA (QM33120W); external MCU host",documented,dwt_uwb_driver / DW3xxx API; FiRa UCI; CIR accumulator readout,Qorvo UWB SDK / dwt driver (shared with DW3000),QM33 eval boards; nRF52/STM32 host MCU; dual UWB antenna (QM33120W),reported,https://www.qorvo.com/products/p/QM33120WA; https://www.firaconsortium.org/,"Net-new. Current-generation, FiRa-Certified rebrand/evolution of the DW3000 class: QM33110W single-RX, QM33120W/WA dual-RX for PDoA/AoA. Same DW3xxx C API and readable complex CIR/STS accumulator (raw-I/Q channel view -> radar-capable), so tier 3 / 'documented' like DW3110. FiRa certification guarantees cross-vendor interop via UCI. CIR access inferred from shared silicon/API with DW3000 -> status reported."
qorvo-qm35xxx,Qorvo,QM35xxx integrated secure UWB SoC,QM35725; QM35825,QM35725; QM35825,IEEE 802.15.4z HRP-UWB; FiRa Certified; UCI; CCC Digital Key,UWB,0,,"Integrated HRP-UWB SoC with on-chip Arm Cortex-M and secure element; runs Qorvo/FiRa firmware, host talks UCI",closed,,,Secure element; on-chip MCU,reported,https://www.qorvo.com/products/ultra-wideband; https://www.firaconsortium.org/,"Net-new. Qorvo's integrated secure UWB SoC line (on-chip MCU + secure element) aimed at phones, secure access and CCC Digital Key. Unlike the DW3000/QM33 transceivers, the host does not get register-level access or the CIR accumulator -- it drives the sealed radio over FiRa UCI and receives ranging results. From an SDR standpoint this is a black box: tier 0, closed. Exact channel-access posture not publicly documented -> status reported."
qualcomm-fastconnect-6200,Qualcomm,FastConnect (mobile combo),FastConnect 6200; QCA6391,FastConnect 6200; QCA6391,802.11ax,2.4GHz; 5GHz,1,monitor,,closed,Ghidra,ath11k,Mobile/PC Wi-Fi 6 + BT combo (QCA6391-class silicon),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"FastConnect 6200 is Qualcomm's Wi-Fi 6 mobile combo product built on QCA6391-class silicon (the QCA6390 family, which the kernel lists as QCA6390/QCA6391 hw2.0 under ath11k). Closed firmware; monitor practical (Tier 1). Distinct product entry from the catalogued QCA6390. Status reported."
qualcomm-ipq4018,Qualcomm,IPQ40xx (ath10k),IPQ4018,IPQ4018; Dakota; qca4018,802.11n; 802.11ac,2.4GHz; 5GHz,3,monitor; spectral-scan,Tensilica Xtensa,closed,Ghidra,ath10k (qca4019/wcn3990 snoc); OpenWrt ipq40xx,8devices Jalapeno module; integrated 2×2 dual-band 11ac router SoCs,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k.html; https://openwrt.org/docs/techref/hardware/soc/soc.qualcomm.ipq40xx,'Dakota' 11ac 2×2 SoC with two integrated radios (2.4 + 5 GHz) driven by ath10k over the internal snoc/AHB bus (qca4019/qca4018 firmware). Spectral scan (Tier 3). Injection firmware-gated; CSI not turnkey.
qualcomm-ipq4019,Qualcomm,IPQ40xx (ath10k),IPQ4019,IPQ4019; Dakota; qca4019,802.11n; 802.11ac,2.4GHz; 5GHz,3,monitor; spectral-scan,Tensilica Xtensa,closed,Ghidra,ath10k; OpenWrt ipq40xx,"Many 2×2 dual-band 11ac OpenWrt routers (Linksys EA6350v3, etc.)",verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k.html; https://openwrt.org/docs/techref/hardware/soc/soc.qualcomm.ipq40xx,"'Dakota' 11ac 2×2 integrated dual-band SoC, ath10k (qca4019). Spectral scan (Tier 3). Injection gated; CSI not turnkey. Extremely common in consumer OpenWrt routers."
qualcomm-ipq6000,Qualcomm,IPQ60xx (ath11k),IPQ6000,IPQ6000; Cypress,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,'Cypress' Wi-Fi 6 mid-range router SoCs,reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"'Cypress' Wi-Fi 6 integrated-radio router SoC on ath11k with closed firmware. ath11k ships an in-tree spectral-scan path, so spectral is reachable (Tier 3) but is less battle-tested end-to-end on these SKUs, hence status reported. Injection gated; CSI not turnkey."
qualcomm-ipq6010,Qualcomm,IPQ60xx (ath11k),IPQ6010,IPQ6010; IPQ6018 family; Cypress,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,Wi-Fi 6 router SoCs (IPQ6018 family),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"Wi-Fi 6 integrated-radio SoC in the IPQ6018 family (ath11k, the same hw family the kernel lists as IPQ6018 hw1.0). Spectral scan reachable via ath11k (Tier 3, reported). Injection gated; CSI not turnkey."
qualcomm-ipq8064,Qualcomm,IPQ806x (network SoC),IPQ8064,IPQ8064; Krait network SoC,802.11n; 802.11ac,2.4GHz; 5GHz,3,monitor; spectral-scan,Tensilica Xtensa (companion radio),closed,Ghidra,ath10k; OpenWrt ipq806x,Netgear Nighthawk / high-end 11ac routers (paired with QCA9880/9980 radios),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k.html; https://openwrt.org/docs/techref/hardware/soc/soc.qualcomm.ipq806x,"Dual-Krait network application processor with NO on-die Wi-Fi radio: Wi-Fi is provided by companion QCA9880/QCA9980 PCIe radios on ath10k. The tier shown is the platform ceiling contributed by those companion radios (ath10k spectral, Tier 3); the IPQ8064 SoC itself contributes no PHY. Status reported for this reason."
qualcomm-ipq8065,Qualcomm,IPQ806x (network SoC),IPQ8065,IPQ8065,802.11n; 802.11ac,2.4GHz; 5GHz,3,monitor; spectral-scan,Tensilica Xtensa (companion radio),closed,Ghidra,ath10k; OpenWrt ipq806x,Netgear R7800 / higher-clocked 11ac routers (companion QCA9984 radios),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath10k.html; https://openwrt.org/docs/techref/hardware/soc/soc.qualcomm.ipq806x,Higher-clocked IPQ8064 (e.g. Netgear R7800). Same story: no on-die radio; Wi-Fi via companion QCA9984 ath10k radios that provide spectral scan (Tier 3 platform ceiling). Status reported.
qualcomm-ipq8070,Qualcomm,IPQ807x (ath11k),IPQ8070,IPQ8070; Hawkeye,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,'Hawkeye' Wi-Fi 6 AP SoCs (+ QCN5024/5054 companion radios),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"'Hawkeye' Wi-Fi 6 AP SoC, ath11k, typically paired with QCN5024 (2.4 GHz) and QCN5054 (5 GHz) companion radios. Spectral scan reachable via ath11k (Tier 3, reported). Injection gated; CSI not turnkey."
qualcomm-ipq8071,Qualcomm,IPQ807x (ath11k),IPQ8071,IPQ8071; Hawkeye,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,'Hawkeye' Wi-Fi 6 AP SoCs,reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"'Hawkeye' Wi-Fi 6 AP SoC (IPQ807x family), ath11k with companion QCN radios. Spectral scan reachable via ath11k (Tier 3, reported). Injection gated; CSI not turnkey."
qualcomm-ipq8072,Qualcomm,IPQ807x (ath11k),IPQ8072,IPQ8072; Hawkeye,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,'Hawkeye' Wi-Fi 6 AP SoCs (Netgear RAX / high-end mesh),reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"'Hawkeye' Wi-Fi 6 AP SoC (IPQ807x), ath11k. Spectral scan reachable via ath11k (Tier 3, reported). Injection gated; CSI not turnkey."
qualcomm-ipq8074,Qualcomm,IPQ807x (ath11k),IPQ8074,IPQ8074; Hawkeye,802.11ax,2.4GHz; 5GHz,3,monitor; spectral-scan,,closed,Ghidra,ath11k,"8×8 Wi-Fi 6 AP SoC — the ath11k reference platform (Netgear RAX120, etc.)",reported,https://wireless.docs.kernel.org/en/latest/en/users/drivers/ath11k.html,"8×8 Wi-Fi 6 AP SoC — the reference part ath11k was first upstreamed for (kernel lists IPQ8074 hw2.0). Spectral scan is in-tree for ath11k and this is the most likely part to have the FFT path validated, but end-to-end public tooling is still thin, so Tier 3 reported. Injection gated; CSI not turnkey."
